date,Armenia,Azerbaijan,Georgia,Kazakhstan,Kyrgyzstan,Tajikistan,Uzbekistan
04-30-2020,32.0,24.0,6.0,25.0,8.0,0.0,9.0
05-01-2020,33.0,25.0,7.0,25.0,8.0,0.0,9.0
05-02-2020,33.0,25.0,8.0,25.0,8.0,2.0,9.0
05-03-2020,35.0,25.0,9.0,27.0,10.0,2.0,10.0
05-04-2020,39.0,26.0,9.0,29.0,10.0,3.0,10.0
05-05-2020,40.0,26.0,9.0,29.0,11.0,5.0,10.0
05-06-2020,40.0,28.0,9.0,30.0,12.0,8.0,10.0
05-07-2020,42.0,28.0,9.0,30.0,12.0,12.0,10.0
05-08-2020,43.0,28.0,10.0,31.0,12.0,12.0,10.0
05-09-2020,44.0,31.0,10.0,31.0,12.0,20.0,10.0
05-10-2020,45.0,32.0,10.0,31.0,12.0,20.0,10.0
05-11-2020,46.0,32.0,11.0,32.0,12.0,21.0,10.0
05-12-2020,47.0,33.0,11.0,32.0,12.0,21.0,10.0
05-13-2020,48.0,35.0,11.0,32.0,12.0,23.0,11.0
05-14-2020,49.0,35.0,12.0,32.0,12.0,29.0,11.0
05-15-2020,52.0,36.0,12.0,34.0,14.0,33.0,11.0
05-16-2020,55.0,36.0,12.0,34.0,14.0,36.0,11.0
05-17-2020,60.0,39.0,12.0,34.0,14.0,39.0,12.0
05-18-2020,61.0,40.0,12.0,35.0,14.0,41.0,13.0
05-19-2020,64.0,41.0,12.0,35.0,14.0,41.0,13.0
05-20-2020,67.0,43.0,12.0,35.0,14.0,41.0,13.0
05-21-2020,70.0,44.0,12.0,35.0,14.0,44.0,13.0
05-22-2020,74.0,46.0,12.0,35.0,14.0,44.0,13.0
05-23-2020,77.0,49.0,12.0,35.0,14.0,44.0,13.0
05-24-2020,81.0,49.0,12.0,35.0,14.0,46.0,13.0
05-25-2020,87.0,51.0,12.0,35.0,16.0,46.0,13.0
05-26-2020,91.0,52.0,12.0,37.0,16.0,47.0,14.0
05-27-2020,98.0,54.0,12.0,37.0,16.0,47.0,14.0
05-28-2020,113.0,56.0,12.0,37.0,16.0,47.0,14.0
